industry,City,CityID,IndustryID,cluster
 Staffing and Recruiting,Chennai,14,90,2
 Information Technology & Services,Kozhikode,45,45,0
 Motor Vehicle Manufacturing,Bengaluru,8,63,2
 IT Services and IT Consulting,Gurgaon,33,42,0
 IT Services and IT Consulting,Rajkot,62,42,0
 Data Infrastructure and Analytics,Bengaluru,8,24,1
 IT Services and IT Consulting,Kanpur,42,42,0
 Hospitals and Health Care,Bengaluru,8,39,1
 Business Consulting and Services,Pune,59,15,0
 Financial Services,Chennai,14,34,1
 Insurance,Mumbai,51,46,0
 Staffing and Recruiting,Navi Mumbai,54,90,2
 Motor Vehicle Manufacturing,Pune,59,63,0
 Industrial Machinery Manufacturing,Chandigarh,13,43,1
 Information Services,Chennai,14,44,1
 Financial Services,Bangalore Urban,6,34,1
 IT Services and IT Consulting,Dehradun,17,42,1
 IT Services and IT Consulting,Pune/Pimpri-Chinchwad Area,60,42,0
 Human Resources Services,Mumbai Metropolitan Region,52,41,0
 Technology Information and Internet,Pune,59,91,2
 Retail Office Equipment,Mumbai,51,84,2
 IT Services and IT Consulting,Pimpri Chinchwad,58,42,0
 IT Services and IT Consulting,Indore,36,42,0
 Market Research,Pune,59,56,0
 Information Technology & Services,Mumbai,51,45,0
 Computer and Network Security,Greater Bengaluru Area,26,19,1
 Computers and Electronics Manufacturing,Bengaluru,8,20,1
 Wireless Services,Chennai,14,101,2
 IT Services and IT Consulting,Greater Delhi Area,29,42,1
 Aviation & Aerospace,Bengaluru,8,7,1
 Financial Services,Gurugram,34,34,1
 Human Resources,Bengaluru,8,40,1
 Consumer Services,Bengaluru,8,23,1
 Computer Networking Products,Pune,59,18,0
 Automation Machinery Manufacturing,Chennai,14,5,1
 Accounting,Bengaluru,8,0,1
 IT Services and IT Consulting,Greater Coimbatore Area,28,42,1
 IT Services and IT Consulting,Ghaziabad,24,42,1
 Food and Beverage Manufacturing,Gurugram,34,35,1
 Education Administration Programs,Noida,56,29,0
 Business Consulting and Services,Gurugram,34,15,1
 Human Resources Services,Bengaluru,8,41,1
 Information Technology & Services,Bhubaneshwar,11,45,1
 Advertising Services,New Delhi,55,1,0
 Wellness and Fitness Services,Delhi,18,98,2
 Financial Services,Delhi,18,34,1
 Human Resources Services,Noida,56,41,0
 Retail,Hyderabad,35,81,2
 IT Services and IT Consulting,Bangalore Urban district,7,42,1
 IT Services and IT Consulting,Srinagar,65,42,0
 Appliances Electrical and Electronics Manufacturing,Bengaluru,8,4,1
 Banking,Bengaluru,8,9,1
 Farming,Aurangabad,5,33,1
 Information Technology & Services,New Delhi,55,45,0
 Information Technology & Services,Vishakhapatnam,75,45,0
 Software Development,Bengaluru East,9,87,2
 IT Services and IT Consulting,Visakhapatnam,74,42,0
 IT Services and IT Consulting,Thane,68,42,0
 Wireless Services,Hyderabad,35,101,2
 Blockchain Services,Bengaluru,8,11,1
 Manufacturing,Gurugram,34,53,0
 Packaging and Containers Manufacturing,Ghaziabad,24,70,2
 Technology Information and Internet,Delhi,18,91,2
 Technology Information and Internet,Alipur,3,91,2
 Medical Equipment Manufacturing,Bengaluru,8,61,2
 Software Development,Mumbai,51,87,2
 E-learning,Delhi,18,27,1
 Telecommunications,Mumbai,51,92,2
 Software Development,Gurugram,34,87,2
 Human Resources Services,Vishakhapatnam,75,41,0
 Technology Information and Internet,Mumbai,51,91,2
 IT Services and IT Consulting,Vadodara,71,42,0
 Automotive,Bengaluru,8,6,1
 Higher Education,Ernakulam,20,38,1
 Staffing and Recruiting,Mohali district,50,90,2
 Education,Delhi,18,28,1
 Semiconductor Manufacturing,Hyderabad,35,85,2
 Software Development,Thane,68,87,2
 Outsourcing and Offshoring Consulting,Bangalore Urban,6,68,2
 Outsourcing and Offshoring Consulting,Gurgaon,33,68,2
 Consumer Services,Chennai,14,23,1
 E-Learning Providers,Gurugram,34,26,1
 Information Services,Vadodara,71,44,0
 Manufacturing,Greater Bengaluru Area,26,53,1
 Financial Services,Gurgaon,33,34,1
 Information Technology & Services,Jammu,39,45,0
 Higher Education,Gurugram,34,38,0
 IT Services and IT Consulting,Greater Ahmedabad Area,25,42,1
 IT Services and IT Consulting,Greater Chennai Area,27,42,1
 Banking,Gurugram,34,9,1
 Consumer Electronics,Mumbai,51,22,0
 Aviation and Aerospace Component Manufacturing,Bengaluru,8,8,1
 Hospitals and Health Care,Coimbatore,15,39,1
 Information Technology & Services,Jaipur,37,45,0
 Research Services,Chennai,14,80,2
 IT Services and IT Consulting,Faridabad,21,42,1
 Staffing and Recruiting,Delhi,18,90,2
 E-Learning Providers,Bengaluru,8,26,1
 Business Consulting and Services,Navi Mumbai,54,15,0
 Internet Publishing,Gurugram,34,49,0
 Manufacturing,Bengaluru,8,53,1
 Information Services,Mumbai,51,44,0
 Computer and Network Security,Hyderabad,35,19,1
 Medical and Diagnostic Laboratories,Bengaluru,8,62,2
 Food and Beverage Services,Bengaluru,8,36,1
 IT Services and IT Consulting,Jamshedpur,40,42,0
 IT Services and IT Consulting,Bhubaneswar,12,42,1
 Education,Noida,56,28,0
 Biotechnology Research,Bengaluru,8,10,1
 Technology Information and Internet,Chennai,14,91,2
