industry,City,Cluster
 Research Services,Hyderabad,1
 Advertising Services,Hyderabad,1
 Biotechnology Research,Hyderabad,1
 Telecommunications,Hyderabad,1
 Transportation Logistics Supply Chain and Storage,Hyderabad,1
 Human Resources Services,Hyderabad,1
 Computer Games,Hyderabad,1
 Motor Vehicle Manufacturing,Hyderabad,1
 Insurance,Hyderabad,1
 Non-profit Organizations,Hyderabad,1
 Higher Education,Hyderabad,1
 IT Services and IT Consulting,Kolkata,0
 Education Management,Kolkata,0
 Business Consulting and Services,Kolkata,0
 Human Resources Services,Pune,1
 IT Services and IT Consulting,Pune,1
 Information Technology & Services,Pune,1
 Financial Services,Pune,1
 Software Development,Pune,1
 Staffing and Recruiting,Pune,1
 Non-profit Organizations,Pune,1
 Outsourcing and Offshoring Consulting,Pune,1
 Information Services,Pune,1
 Translation and Localization,Pune,1
 Business Consulting and Services,Pune,1
 Motor Vehicle Manufacturing,Pune,1
 Technology Information and Internet,Pune,1
 Market Research,Pune,1
 Computer Networking Products,Pune,1
 Internet Publishing,Pune,1
 Movies Videos and Sound,Pune,1
 Advertising Services,Pune,1
 Telecommunications,Pune,1
 Farming,Pune,1
 Medical Equipment Manufacturing,Pune,1
 Industrial Machinery Manufacturing,Pune,1
 Marketing Services,Pune,1
 IT Services and IT Consulting,Chennai,1
 Information Technology & Services,Chennai,1
 Software Development,Chennai,1
 Media and Telecommunications,Chennai,1
 Human Resources Services,Chennai,1
 Internet Publishing,Chennai,1
 Maritime Transportation,Chennai,1
 Motor Vehicle Manufacturing,Chennai,1
 Business Consulting and Services,Chennai,1
 Outsourcing and Offshoring Consulting,Chennai,1
 Real Estate,Chennai,1
 Staffing and Recruiting,Chennai,1
 Financial Services,Chennai,1
 Information Services,Chennai,1
 Wireless Services,Chennai,1
 Automation Machinery Manufacturing,Chennai,1
 Consumer Services,Chennai,1
 Research Services,Chennai,1
 Technology Information and Internet,Chennai,1
 Investment Management,Chennai,1
 Oil and Gas,Chennai,1
 Banking,Chennai,1
 Design Services,Chennai,1
 Food and Beverage Services,Chennai,1
 Telecommunications,Chennai,1
 Staffing and Recruiting,Mumbai,1
 Business Consulting and Services,Mumbai,1
 IT Services and IT Consulting,Mumbai,1
 Apparel & Fashion,Mumbai,1
 Human Resources Services,Mumbai,1
 Financial Services,Mumbai,1
 Research Services,Mumbai,1
 Personal Care Product Manufacturing,Mumbai,1
 Advertising Services,Mumbai,1
 Computers and Electronics Manufacturing,Mumbai,1
 Pharmaceutical Manufacturing,Mumbai,1
 Marketing Services,Mumbai,1
 Accounting,Mumbai,1
 Insurance,Mumbai,1
 Retail Office Equipment,Mumbai,1
 Information Technology & Services,Mumbai,1
 Software Development,Mumbai,1
 Telecommunications,Mumbai,1
 Technology Information and Internet,Mumbai,1
 Consumer Electronics,Mumbai,1
 Information Services,Mumbai,1
 Human Resources,Mumbai,1
 Design Services,Mumbai,1
 International Trade and Development,Mumbai,1
 Consumer Services,Mumbai,1
 Construction,Mumbai,1
 Manufacturing,Mumbai,1
 Public Relations and Communications Services,Mumbai,1
 Computer Games,Mumbai,1
 Transportation Logistics Supply Chain and Storage,Mumbai,1
 Textile Manufacturing,Mumbai,1
 Maritime,Mumbai,1
 Spectator Sports,Mumbai,1
 Wholesale Chemical and Allied Products,Mumbai,1
 Banking,Mumbai,1
 IT Services and IT Consulting,Mumbai Metropolitan Region,0
 Banking,Mumbai Metropolitan Region,0
 Human Resources Services,Mumbai Metropolitan Region,0
 Accounting,Mumbai Metropolitan Region,0
 Research Services,Mumbai Metropolitan Region,0
 IT Services and IT Consulting,Bhopal,0
 IT Services and IT Consulting,Surat,0
 IT Services and IT Consulting,Jaipur,0
 Information Technology & Services,Jaipur,0
 Human Resources Services,Jaipur,0
 IT Services and IT Consulting,Chandigarh,0
 Industrial Machinery Manufacturing,Chandigarh,0
 Staffing and Recruiting,Chandigarh,0
 Information Services,Delhi Cantonment,1
 Human Resources,Gurgaon,0
 Biotechnology Research,Gurgaon,0
 IT Services and IT Consulting,Gurgaon,0
 Outsourcing and Offshoring Consulting,Gurgaon,0
 Financial Services,Gurgaon,0
 Construction,Gurgaon,0
 Media Production,Gurgaon,0
 IT Services and IT Consulting,Nagpur,0
 Software Development,Nagpur,0
 Wholesale Building Materials,Nagpur,0
 IT Services and IT Consulting,Bangalore Urban,1
 Human Resources Services,Bangalore Urban,1
 Retail,Bangalore Urban,1
 Software Development,Bangalore Urban,1
 Business Consulting and Services,Bangalore Urban,1
 Information Technology & Services,Bangalore Urban,1
 Internet Publishing,Bangalore Urban,1
 Advertising Services,Bangalore Urban,1
 Financial Services,Bangalore Urban,1
 Outsourcing and Offshoring Consulting,Bangalore Urban,1
 Motor Vehicle Manufacturing,Bangalore Urban,1
 Telecommunications,Bangalore Urban,1
 Technology Information and Internet,Bangalore Urban,1
 Biotechnology Research,Bangalore Urban,1
 E-Learning Providers,Bangalore Urban,1
 Retail Apparel and Fashion,Bangalore Urban,1
 Hospitals and Health Care,Bangalore Urban,1
 IT Services and IT Consulting,Ahmedabad,0
 Retail,Ahmedabad,0
 Utilities,Ahmedabad,0
 Outsourcing/Offshoring,Ahmedabad,0
 Financial Services,Ahmedabad,0
 Staffing and Recruiting,Ahmedabad,0
 Advertising Services,Ahmedabad,0
 Motor Vehicle Manufacturing,Ahmedabad,0
 IT Services and IT Consulting,Kalyan,0
 IT Services and IT Consulting,Ludhiana,0
 IT Services and IT Consulting,Amritsar,0
 IT Services and IT Consulting,Patna,0
 IT Services and IT Consulting,Thiruvananthapuram,0
 Telecommunications,Kochi,0
 IT Services and IT Consulting,Kochi,0
 Computer and Network Security,Kochi,0
 Software Development,Kochi,0
 Oil and Gas,Indore,0
 IT Services and IT Consulting,Indore,0
 Information Services,Indore,0
 Information Technology & Services,Pune/Pimpri-Chinchwad Area,0
 IT Services and IT Consulting,Pune/Pimpri-Chinchwad Area,0
 Staffing and Recruiting,Pune/Pimpri-Chinchwad Area,0
 Business Consulting and Services,Dehradun,0
 IT Services and IT Consulting,Dehradun,0
 Staffing and Recruiting,Dehradun,0
 IT Services and IT Consulting,Greater Hyderabad Area,0
 Information Services,Greater Hyderabad Area,0
 Computers and Electronics Manufacturing,Greater Hyderabad Area,0
 IT Services and IT Consulting,Lucknow,0
 IT Services and IT Consulting,Sahibzada Ajit Singh Nagar,0
 IT Services and IT Consulting,Coimbatore,0
 Hospitals and Health Care,Coimbatore,0
 Software Development,Coimbatore,0
 Information Technology & Services,Kozhikode,1
 IT Services and IT Consulting,Rajkot,0
 Financial Services,Rajkot,0
